"asset_id"	"relative_path"	"kb_id"	"review_status"	"import_enabled"	"metadata_only"	"notes"
"orig_6ac06b607109"	"05_调研记录/crrc_changchun_20260603/downloads/2021_中车长春轨道客车_温室气体排放报告.pdf"	"process_digital_dept"	"pending"	"false"	"false"	""
"orig_026f2d3922f9"	"05_调研记录/crrc_changchun_20260603/downloads/2023_中车长春轨道客车_友商合规承诺书中英对照.pdf"	"process_digital_dept"	"pending"	"false"	"false"	""
"orig_efe1d25b2215"	"05_调研记录/crrc_changchun_20260603/downloads/2024_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"craft_dept"	"pending"	"false"	"false"	""
"orig_c3cebc6a7d1e"	"05_调研记录/crrc_changchun_20260603/downloads/2025_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"craft_dept"	"pending"	"false"	"false"	""
"orig_ba4221e3d168"	"05_调研记录/crrc_changchun_20260603/downloads/2025_中车长春轨道客车_环境信息依法披露临时报告1.pdf"	"process_digital_dept"	"pending"	"false"	"false"	""
"orig_cdfddb79d476"	"05_调研记录/crrc_changchun_20260603/downloads/2025_中车长春轨道客车_监测报告.pdf"	"craft_dept"	"pending"	"false"	"false"	""
"orig_b089e289ab38"	"08_长客真实资料/crrc_changchun_20260603/downloads/2021_中车长春轨道客车_温室气体排放报告.pdf"	"process_digital_dept"	"pending"	"false"	"false"	""
"orig_8b2100b5c091"	"08_长客真实资料/crrc_changchun_20260603/downloads/2023_中车长春轨道客车_友商合规承诺书中英对照.pdf"	"process_digital_dept"	"pending"	"false"	"false"	""
"orig_9c58abf62bd0"	"08_长客真实资料/crrc_changchun_20260603/downloads/2024_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"craft_dept"	"pending"	"false"	"false"	""
"orig_1082637ffd58"	"08_长客真实资料/crrc_changchun_20260603/downloads/2025_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"craft_dept"	"pending"	"false"	"false"	""
"orig_b79954c4421e"	"08_长客真实资料/crrc_changchun_20260603/downloads/2025_中车长春轨道客车_环境信息依法披露临时报告1.pdf"	"process_digital_dept"	"pending"	"false"	"false"	""
"orig_88206feff61a"	"08_长客真实资料/crrc_changchun_20260603/downloads/2025_中车长春轨道客车_监测报告.pdf"	"craft_dept"	"pending"	"false"	"false"	""
